joueur,equipe,competition,journee,type,x,y,resultat,angle,distance,proba,xPoints
Lafage,Vannes,TOP 14,5,,24.696969696969703,40.56818181818183,réussi,29.97708195324883,18.027403199772866,0.9720947356947062,2.9162842070841184
Lafage,Vannes,TOP 14,5,,23.939393939393945,43.12500000000001,réussi,27.999274888408745,18.31658251314839,0.967832814774117,2.903498444322351
Lafage,Vannes,TOP 14,5,,32.46212121212122,12.53787878787879,réussi,13.1215296957311,33.39548752890708,0.7358869383374081,2.2076608150122246
Lafage,Vannes,TOP 14,5,,21.00378787878788,39.43181818181819,réussi,37.720974061867075,14.164875160180173,0.9878065192928934,2.96341955787868
LeGarrec,Racing,TOP 14,5,,18.82575757575757,29.488636363636367,réussi,41.546320656043044,12.431840398942338,0.991790016500176,2.975370049500528
LeGarrec,Racing,TOP 14,5,,39.94318181818183,37.91666666666667,réussi,17.639083253145603,32.48513259659934,0.799650229586465,2.398950688759395
LeGarrec,Racing,TOP 14,5,,30.094696969696976,54.96212121212122,réussi,14.322719978203576,30.178856022684574,0.8045042748591112,2.413512824577334
LeGarrec,Racing,TOP 14,5,,21.19318181818182,44.16666666666667,réussi,29.08013444770029,16.482306136466967,0.9746698212002686,2.9240094636008056
LeGarrec,Racing,TOP 14,5,,25.928030303030305,25.227272727272737,réussi,24.871078079944517,20.691775443253558,0.9517788762274656,2.8553366286823967
Reus,LaRochelle,TOP 14,5,,41.07954545454547,52.97348484848486,réussi,13.334476146279341,38.071774008867486,0.63980881172405,1.91942643517215
Reus,LaRochelle,TOP 14,5,,25.170454545454547,48.99621212121213,réussi,20.076683784440704,22.561043767504355,0.9249585655432112,2.7748756966296337
Reus,LaRochelle,TOP 14,5,,33.7878787878788,0.9848484848484844,raté,8.456630022061821,42.79826376315932,0.45411066995108323,1.3623320098532496
Reus,LaRochelle,TOP 14,5,,38.90151515151515,21.534090909090917,réussi,15.723846564086083,34.008014221337525,0.7538407406779142,2.2615222220337428
Méliande,Lyon,TOP 14,5,,19.583333333333336,25.79545454545455,réussi,31.481385814971528,15.009544378936656,0.9809044802535422,2.9427134407606266
Méliande,Lyon,TOP 14,5,,19.678030303030305,44.356060606060616,réussi,29.95925529152232,15.373754820907886,0.9783790300650542,2.9351370901951626
Méliande,Lyon,TOP 14,5,,30.094696969696976,13.295454545454549,raté,13.6849130851158,31.144003546405703,0.78264309105347,2.34792927316041
Hastoy,LaRochelle,TOP 14,5,,34.35606060606061,68.97727272727273,réussi,8.214019072821879,43.371470572870265,0.43652580125522333,1.30957740376567
Hastoy,LaRochelle,TOP 14,5,,33.50378787878789,64.71590909090911,raté,9.58224014430441,39.54009573075354,0.5511996559208014,1.6535989677624043
Hastoy,LaRochelle,TOP 14,5,,33.977272727272734,66.6098484848485,raté,8.941765766218417,41.29075651981229,0.4985145219562486,1.495543565868746
Hastoy,LaRochelle,TOP 14,5,,33.69318181818183,68.97727272727273,raté,8.162817869926606,42.96576942037414,0.4456728233886171,1.3370184701658512
Hastoy,LaRochelle,TOP 14,5,,18.352272727272737,46.72348484848486,réussi,25.004111931392195,16.0238074086101,0.969305662103998,2.907916986311994
Jackson,Lyon,TOP 14,5,,19.3939393939394,30.814393939393945,réussi,42.7758789690601,12.45778137799022,0.9923463545953974,2.9770390637861923
Ramos,Toulouse,TOP 14,5,,21.09848484848485,26.64772727272728,réussi,31.59903697477447,15.785874074796299,0.9795516684162917,2.938655005248875
Ramos,Toulouse,TOP 14,5,,34.26136363636364,51.07954545454546,réussi,15.806459050963875,31.214755722332136,0.8022797228448574,2.4068391685345722
Ramos,Toulouse,TOP 14,5,,18.63636363636364,32.99242424242425,réussi,48.38640598209559,11.185672441285243,0.9951564988412459,2.985469496523738
Ramos,Toulouse,TOP 14,5,,32.36742424242425,56.95075757575758,réussi,13.015007529645926,33.19861561570538,0.7384321552382251,2.215296465714675
Ramos,Toulouse,TOP 14,5,,13.806818181818189,35.92803030303031,réussi,77.43131506584676,6.2975264841555845,0.9994691692543562,2.9984075077630687
LeBrun,Castres,TOP 14,5,,39.75378787878789,24.659090909090917,réussi,16.37972987580332,33.7228261221442,0.766119759232538,2.298359277697614
LeBrun,Castres,TOP 14,5,,30.47348484848485,14.715909090909092,raté,14.51704303226107,30.462191510586365,0.8019024411715736,2.405707323514721
LeBrun,Castres,TOP 14,5,,24.696969696969703,45.49242424242425,réussi,24.376784125446818,20.140979139331858,0.9529157171606689,2.8587471514820066
LeBrun,Castres,TOP 14,5,,15.984848484848492,35.6439393939394,réussi,61.94574701128353,8.419247637030614,0.9983533952534321,2.9950601857602965
LeBrun,Castres,TOP 14,5,,52.44318181818183,35.73863636363637,raté,12.885434570779049,44.84803895470909,0.46930135489853364,1.407904064695601
LeBrun,Castres,TOP 14,5,,29.621212121212125,54.01515151515153,réussi,14.982653519919765,29.197165896441007,0.8250863935461207,2.475259180638362
