joueur,equipe,Tirs réussis,Total de tentatives,Nombre de points marqués,Nombre total de xPoints,Difficulté,Pourcentage de réussite,Rating
Allan,Perpignan,0,1,0,1.68,0.44,0.0,0.0
Aucagne,Perpignan,3,5,2,9.7,0.24,60.0,0.21
Belleau,Clermont,2,3,4,3.49,0.42,66.67,1.15
Berdeu,Lyon,5,5,10,8.26,0.17,100.0,1.21
Carbonel,StadeFrançais,6,6,3,13.95,0.23,100.0,0.22
Coly,Montpellier,6,7,16,13.79,0.27,85.71,1.16
Daubagna,Pau,3,3,8,6.03,0.26,100.0,1.33
Garbisi,Toulon,1,2,2,3.74,0.06,50.0,0.53
Garcia,Bordeaux,6,6,10,9.06,0.28,100.0,1.1
Hastoy,LaRochelle,2,5,0,8.7,0.42,40.0,0.0
Henry,StadeFrançais,2,3,0,7.05,0.22,66.67,0.0
Herve,Toulon,3,6,8,10.56,0.32,50.0,0.76
Hogg,Montpellier,1,1,2,1.99,0.01,100.0,1.01
Jackson,Lyon,1,1,0,2.98,0.01,100.0,0.0
Jalibert,Bordeaux,6,10,6,18.4,0.24,60.0,0.33
Kinghorn,Toulouse,3,5,7,7.93,0.33,60.0,0.88
Lafage,Vannes,12,12,21,28.97,0.13,100.0,0.72
Lancaster,Racing,0,1,0,1.59,0.21,0.0,0.0
LeBail,Vannes,2,2,4,3.31,0.17,100.0,1.21
LeBrun,Castres,7,12,6,24.91,0.22,58.33,0.24
LeGarrec,Racing,12,13,20,29.79,0.22,92.31,0.67
Méliande,Lyon,2,3,0,8.23,0.09,66.67,0.0
Ramos,Toulouse,13,14,18,31.78,0.12,92.86,0.57
Reus,LaRochelle,3,4,0,8.32,0.31,75.0,0.0
Segonds,Bayonne,13,15,22,31.45,0.18,86.67,0.7
Serin,Toulon,8,9,6,19.32,0.28,88.89,0.31
Simmonds,Pau,6,11,9,20.31,0.27,54.55,0.44
Urdapilleta,Clermont,9,12,8,20.68,0.29,75.0,0.39
Vincent,Montpellier,7,12,5,23.01,0.33,58.33,0.22
West,LaRochelle,1,1,2,1.76,0.12,100.0,1.14
