joueur,equipe,journee,Pourcentage de réussite,Tirs réussis,Total de tentatives,Nombre de points marqués,Nombre total de xPoints,Difficulté,Rating
Aucagne,Perpignan,6,50.0,1,2,2,3.33,0.17,0.6
Berdeu,Lyon,6,100.0,5,5,10,8.26,0.17,1.21
Carbonel,StadeFrançais,6,100.0,1,1,3,2.81,0.06,1.07
Coly,Montpellier,6,85.71,6,7,16,13.79,0.27,1.16
Daubagna,Pau,6,100.0,2,2,6,4.81,0.2,1.25
Garcia,Bordeaux,6,100.0,5,5,10,7.73,0.23,1.29
Jalibert,Bordeaux,6,60.0,3,5,6,8.5,0.15,0.71
Lafage,Vannes,6,100.0,3,3,7,5.6,0.19,1.25
LeBrun,Castres,6,60.0,3,5,6,8.7,0.22,0.69
LeGarrec,Racing,6,85.71,6,7,17,13.41,0.34,1.27
Ramos,Toulouse,6,88.89,8,9,18,18.23,0.13,0.99
Segonds,Bayonne,6,80.0,4,5,10,9.91,0.19,1.01
Serin,Toulon,6,66.67,2,3,6,6.97,0.23,0.86
Simmonds,Pau,6,50.0,3,6,7,9.62,0.31,0.73
Urdapilleta,Clermont,6,100.0,2,2,4,2.98,0.25,1.34
West,LaRochelle,6,100.0,1,1,2,1.76,0.12,1.14
